tjpt,NPV,jpt,jptnoarea,rho,sigma,area,sumtrkPV,sumtrkPU,pt5,ptnoarea5,sigmaoverarea5,pt10,ptnoarea10,sigmaoverarea10,pt15,ptnoarea15,sigmaoverarea15,pt20,ptnoarea20,sigmaoverarea20,pt25,ptnoarea25,sigmaoverarea25,pt30,ptnoarea30,sigmaoverarea30,pt35,ptnoarea35,sigmaoverarea35,pt40,ptnoarea40,sigmaoverarea40,pt45,ptnoarea45,sigmaoverarea45,pt50,ptnoarea50,sigmaoverarea50
186.736496,20,183.6241913,198.9824219,28.15534782,7.041505814,0.488692194,109.6923141,9.57881546,63.69042206,63.91155243,0.624037206,177.0177917,177.9023132,1.248074412,181.1822815,183.1724701,1.872111678,181.1332855,184.6713867,2.496148825,179.5481262,185.076416,3.12018609,184.6119995,192.5727386,3.744223356,186.9434814,197.7789307,4.368260384,185.6977844,199.8502045,4.992297649,181.9385529,199.8502045,5.616334438,177.7370453,199.8502045,6.240372181
138.4916534,20,134.5693207,152.9583893,33.59638977,5.535745144,0.478718877,58.47691345,7.652988911,73.79667664,74.06053925,0.490592659,121.3444519,122.39991,0.981185317,123.9939957,126.368782,1.471777916,126.6245575,130.846405,1.962370634,129.8266907,136.4233246,2.452963114,132.1257324,141.6248932,2.943555832,133.7262268,146.6556396,3.434148312,136.8422394,153.7296295,3.924741268,132.3565369,153.7296295,4.415333748,127.3430862,153.7296295,4.905926228
92.19203186,20,98.61434174,112.4875717,23.95011902,4.425362587,0.508638799,54.41423798,17.03865814,0.742975593,0.931079388,0.392187566,5.150338173,5.902753353,0.784375131,20.77578354,22.46871758,1.176562667,62.55540848,65.56507111,1.568750262,89.62172699,94.32432556,1.960937738,92.80016327,99.57189941,2.353125334,99.64798737,108.8650742,2.745312691,101.7974472,113.8360901,3.137500525,98.59968567,113.8360901,3.529687881,95.02571106,113.8360901,3.921875477
143.7433167,20,141.9363556,160.728241,30.68634605,7.663684845,0.538558722,101.1076508,7.294295311,8.579579353,8.820589066,0.67917639,27.35650635,28.3205471,1.35835278,76.10188293,78.27097321,2.03752923,90.19155884,94.04772186,2.716705561,114.1897507,120.215004,3.395881891,128.8792267,137.5555878,4.07505846,138.5608368,150.3703308,4.754234791,146.8004456,162.2250824,5.433411121,142.7032776,162.2250824,6.112587452,138.1240845,162.2250824,6.791763783
101.708725,20,99.30510712,115.4072876,28.56498337,4.425188541,0.498665512,67.51715851,6.945606709,69.69884491,69.92319489,0.392172128,86.70037842,87.59777069,0.784344256,90.58816528,92.60730743,1.176516414,92.60231781,96.19190216,1.568688512,98.12340546,103.7321243,1.96086061,100.8444901,108.921051,2.353032827,100.609581,111.6026764,2.745204926,101.5010529,115.8593826,3.137377024,97.77048492,115.9427414,3.529548883,93.50785828,115.9427414,3.92172122
136.4122925,20,127.5170746,146.4573059,33.44688416,6.499639034,0.508638799,108.7401199,7.026663303,21.55607414,21.81876564,0.576015532,66.36688232,67.41764832,1.152031064,102.1581573,104.522377,1.728046536,112.9362946,117.1393509,2.304062128,123.6267929,130.1940765,2.8800776,126.9736557,136.430542,3.456093073,126.1630249,139.0348969,4.032108307,130.7071686,147.5194092,4.608124256,126.2414246,147.5194092,5.184139252,121.2502899,147.5194092,5.760155201
247.9489288,20,254.4628754,272.7986145,33.91766739,6.488659859,0.498665512,126.090126,17.93951988,126.283783,126.5501709,0.575042546,174.4201965,175.4857483,1.150085092,219.049942,221.4474335,1.725127578,231.202652,235.4648743,2.300170183,239.4889069,246.1486206,2.875212431,252.0793762,261.6693726,3.450255156,258.7584534,271.8114929,4.025297642,257.0629578,274.1118469,4.600340366,252.5343628,274.1118469,5.175382614,247.4729767,274.1118469,5.750424862
80.03298187,20,71.74500275,86.39997101,25.56122971,4.465588093,0.508638799,54.07796097,3.694136381,25.0476017,25.24835968,0.39575246,47.46939087,48.27241898,0.79150492,61.01425934,62.82107544,1.18725729,66.39067841,69.60279846,1.583009839,67.35644531,72.37538147,1.97876215,69.62301636,76.85028076,2.37451458,76.17622375,86.01333618,2.77026701,74.01967621,86.8681488,3.166019678,70.60679626,86.8681488,3.56177187,66.79240417,86.8681488,3.9575243
170.6828766,20,166.5738983,183.9834137,32.00881958,5.905817509,0.528585434,72.90639496,9.288663864,140.3255005,140.5769043,0.523389459,164.1975555,165.2031403,1.046778917,167.0189056,169.2814789,1.570168376,166.308197,170.3305511,2.093557835,168.9160309,175.200943,2.616947174,168.07164,177.1219177,3.140336752,169.5853882,181.9038239,3.663726091,168.2377472,184.3271332,4.187115669,163.9640045,184.3271332,4.710505009,159.1874695,184.3271332,5.233894348
150.0268402,20,147.7495117,160.6421814,24.07921982,3.732325792,0.498665512,85.08366394,4.686655998,108.6719818,108.8610992,0.330768764,127.6972351,128.4537048,0.661537528,138.5698547,140.2719116,0.992306292,147.9826508,151.0085297,1.323075056,148.6329651,153.3609161,1.65384376,147.6451569,154.4533997,1.984612584,149.2369843,158.5037537,2.315381289,149.1074829,161.2110138,2.646150112,145.8924713,161.2110138,2.976918697,142.2992401,161.2110138,3.307687521
118.5582123,20,115.1417313,132.8325195,32.91411591,5.365180016,0.528585434,25.82832336,7.238383293,100.8609772,101.1194839,0.475476712,110.7156601,111.7496872,0.950953424,116.2496338,118.5761948,1.426430106,118.4189301,122.5550385,1.901906848,118.3554916,124.818161,2.377383471,115.9238968,125.2301483,2.852860212,113.7512741,126.4181137,3.328336716,116.4614487,133.0058899,3.803813696,112.4248505,133.3639069,4.279290199,107.5132217,133.3639069,4.754766941
